id_venta,id_producto,cantidad,precio_unitario,importe
1,90,1,2902,2902
2,82,5,2394,11970
2,39,5,469,2345
2,70,2,4061,8122
2,22,1,2069,2069
2,79,4,2420,9680
3,9,2,3878,7756
3,2,2,4973,9946
3,85,1,1856,1856
4,4,2,2033,4066
4,23,5,2380,11900
5,86,4,4090,16360
6,25,2,4015,8030
6,31,3,3409,10227
6,83,1,1830,1830
6,59,4,3612,14448
7,63,3,4337,13011
8,53,5,1664,8320
8,18,4,3444,13776
8,68,5,2684,13420
9,65,4,2423,9692
10,36,2,2559,5118
10,100,4,4854,19416
10,37,3,3196,9588
10,62,1,3848,3848
11,13,1,2383,2383
11,65,2,2423,4846
11,28,1,936,936
12,72,2,3876,7752
12,50,2,727,1454
12,56,3,2532,7596
12,87,3,1679,5037
12,38,4,1584,6336
13,87,1,1679,1679
13,81,3,2520,7560
13,13,1,2383,2383
14,36,4,2559,10236
14,72,5,3876,19380
14,38,3,1584,4752
14,97,1,872,872
15,37,3,3196,9588
16,35,5,4430,22150
17,81,5,2520,12600
17,46,5,3036,15180
17,74,3,2953,8859
18,33,2,1255,2510
18,4,5,2033,10165
18,24,2,1305,2610
18,15,3,2538,7614
18,22,5,2069,10345
19,38,2,1584,3168
19,98,3,2843,8529
19,63,3,4337,13011
20,32,3,2234,6702
21,76,5,4286,21430
21,35,1,4430,4430
22,9,2,3878,7756
22,28,3,936,2808
22,24,4,1305,5220
23,64,4,3953,15812
23,83,4,1830,7320
24,91,2,4690,9380
24,40,5,1215,6075
25,55,1,1407,1407
25,95,5,1581,7905
25,72,1,3876,3876
26,79,2,2420,4840
26,86,1,4090,4090
27,7,4,3269,13076
27,78,4,4289,17156
28,74,1,2953,2953
28,91,2,4690,9380
28,72,1,3876,3876
28,18,2,3444,6888
28,27,5,2502,12510
29,58,1,4752,4752
29,36,2,2559,5118
29,71,4,508,2032
29,27,2,2502,5004
29,66,1,1533,1533
30,49,4,2512,10048
30,78,3,4289,12867
30,82,4,2394,9576
30,7,1,3269,3269
31,92,4,2512,10048
31,90,3,2902,8706
31,84,5,1645,8225
32,72,5,3876,19380
32,53,4,1664,6656
32,17,3,4834,14502
32,35,3,4430,13290
33,47,2,2939,5878
33,76,4,4286,17144
33,100,1,4854,4854
33,91,2,4690,9380
34,10,1,4883,4883
34,32,5,2234,11170
35,93,3,2142,6426
35,80,2,1981,3962
35,88,5,2570,12850
36,50,4,727,2908
36,48,2,4462,8924
37,18,3,3444,10332
38,62,5,3848,19240
38,14,3,1723,5169
38,65,5,2423,12115
38,5,3,4777,14331
39,44,4,2979,11916
39,22,2,2069,4138
39,58,4,4752,19008
39,81,4,2520,10080
40,44,2,2979,5958
41,51,1,1745,1745
41,15,1,2538,2538
42,47,3,2939,8817
42,29,1,1868,1868
42,73,3,1561,4683
43,1,5,2347,11735
43,49,2,2512,5024
43,66,2,1533,3066
44,48,1,4462,4462
44,47,2,2939,5878
44,100,2,4854,9708
45,12,2,570,1140
45,18,2,3444,6888
45,87,4,1679,6716
45,98,1,2843,2843
45,52,2,2582,5164
46,21,1,272,272
47,43,5,887,4435
47,6,3,4170,12510
48,70,1,4061,4061
48,54,5,1592,7960
48,57,4,4520,18080
49,59,2,3612,7224
49,21,4,272,1088
49,59,4,3612,14448
49,18,3,3444,10332
49,85,3,1856,5568
50,10,2,4883,9766
50,34,5,503,2515
50,58,5,4752,23760
50,32,3,2234,6702
50,91,4,4690,18760
51,31,1,3409,3409
52,83,2,1830,3660
52,9,4,3878,15512
52,81,5,2520,12600
52,38,3,1584,4752
53,28,1,936,936
54,65,1,2423,2423
54,18,2,3444,6888
54,91,3,4690,14070
54,8,3,4218,12654
55,39,4,469,1876
56,18,5,3444,17220
57,31,3,3409,10227
57,41,4,860,3440
57,9,5,3878,19390
57,76,3,4286,12858
57,98,4,2843,11372
58,43,2,887,1774
58,11,1,2053,2053
59,31,1,3409,3409
59,8,2,4218,8436
59,97,5,872,4360
60,43,1,887,887
60,98,3,2843,8529
60,15,1,2538,2538
60,21,2,272,544
60,91,4,4690,18760
61,9,3,3878,11634
61,19,3,3251,9753
62,47,4,2939,11756
62,95,3,1581,4743
63,8,5,4218,21090
63,2,2,4973,9946
63,70,3,4061,12183
63,45,4,745,2980
64,4,2,2033,4066
64,41,2,860,1720
65,77,4,4778,19112
65,22,3,2069,6207
65,38,5,1584,7920
65,36,4,2559,10236
66,16,3,4613,13839
67,53,1,1664,1664
67,8,2,4218,8436
68,94,4,1418,5672
69,76,4,4286,17144
69,74,3,2953,8859
70,66,3,1533,4599
70,89,4,1003,4012
70,38,3,1584,4752
71,11,3,2053,6159
71,79,4,2420,9680
71,100,4,4854,19416
71,92,1,2512,2512
72,94,3,1418,4254
72,41,4,860,3440
72,51,2,1745,3490
73,28,1,936,936
73,24,3,1305,3915
73,19,1,3251,3251
74,32,3,2234,6702
74,14,2,1723,3446
74,55,2,1407,2814
75,3,4,4964,19856
75,2,5,4973,24865
76,22,4,2069,8276
76,23,4,2380,9520
76,24,1,1305,1305
76,11,2,2053,4106
77,53,2,1664,3328
77,41,1,860,860
77,34,5,503,2515
77,98,2,2843,5686
77,39,2,469,938
78,37,3,3196,9588
78,79,5,2420,12100
78,17,2,4834,9668
78,85,1,1856,1856
78,39,2,469,938
79,81,2,2520,5040
79,56,2,2532,5064
80,39,5,469,2345
80,30,3,4875,14625
80,41,5,860,4300
81,10,2,4883,9766
82,38,1,1584,1584
82,28,2,936,1872
82,29,5,1868,9340
82,82,2,2394,4788
83,5,2,4777,9554
83,26,2,1001,2002
83,73,5,1561,7805
83,51,2,1745,3490
84,83,5,1830,9150
84,76,4,4286,17144
85,32,4,2234,8936
85,80,2,1981,3962
86,66,2,1533,3066
86,1,4,2347,9388
86,13,5,2383,11915
86,41,3,860,2580
87,53,2,1664,3328
87,86,2,4090,8180
88,7,5,3269,16345
88,53,5,1664,8320
88,8,4,4218,16872
89,72,2,3876,7752
90,79,4,2420,9680
90,6,2,4170,8340
91,57,3,4520,13560
92,10,2,4883,9766
92,43,4,887,3548
93,80,4,1981,7924
93,66,3,1533,4599
93,91,3,4690,14070
94,24,1,1305,1305
94,86,5,4090,20450
94,98,2,2843,5686
95,72,5,3876,19380
95,12,1,570,570
96,81,3,2520,7560
96,68,1,2684,2684
96,11,2,2053,4106
96,50,3,727,2181
97,59,5,3612,18060
97,36,1,2559,2559
97,4,3,2033,6099
98,28,4,936,3744
98,61,1,4982,4982
98,29,1,1868,1868
98,83,3,1830,5490
99,40,5,1215,6075
100,13,3,2383,7149
100,18,4,3444,13776
100,58,2,4752,9504
100,57,1,4520,4520
100,9,4,3878,15512
101,34,4,503,2012
102,78,3,4289,12867
102,36,3,2559,7677
103,79,5,2420,12100
103,43,5,887,4435
103,34,1,503,503
103,70,1,4061,4061
104,95,2,1581,3162
104,68,3,2684,8052
104,68,5,2684,13420
105,13,2,2383,4766
105,4,4,2033,8132
105,58,2,4752,9504
105,82,4,2394,9576
105,43,5,887,4435
106,88,3,2570,7710
107,7,4,3269,13076
107,11,2,2053,4106
107,12,4,570,2280
